protein1,weight1,protein2,weight2
AKT1,0.177242952,BAD,0.033227167
AKT1,0.177242952,CHUK,-0.198813185
AKT1,0.177242952,FOXO4,-0.552602162
AKT1,0.177242952,IKBKB,-0.453919195
AKT1,0.177242952,IKBKG,-0.232444307
AKT2,0.045185863,BAD,0.033227167
AKT2,0.045185863,CHUK,-0.198813185
AKT2,0.045185863,FOXO4,-0.552602162
AKT2,0.045185863,IKBKB,-0.453919195
AKT2,0.045185863,IKBKG,-0.232444307
AKT3,6.474232922,BAD,0.033227167
AKT3,6.474232922,CHUK,-0.198813185
AKT3,6.474232922,FOXO4,-0.552602162
AKT3,6.474232922,IKBKB,-0.453919195
AKT3,6.474232922,IKBKG,-0.232444307
ANGPT1,-2.886029291,CSF1R,-2.05165169
ANGPT1,-2.886029291,EGFR,0.643740489
ANGPT1,-2.886029291,EPHA2,0.067132003
ANGPT1,-2.886029291,FGFR1,-0.015774318
ANGPT1,-2.886029291,FGFR2,2.204049045
ANGPT1,-2.886029291,FGFR3,1.019104537
ANGPT1,-2.886029291,FGFR4,-0.557650181
ANGPT1,-2.886029291,FLT1,1.434221911
ANGPT1,-2.886029291,FLT3,NA
ANGPT1,-2.886029291,FLT4,-0.198522555
ANGPT1,-2.886029291,IGF1R,0.344622854
ANGPT1,-2.886029291,INSR,1.392819227
ANGPT1,-2.886029291,KDR,-1.315089547
ANGPT1,-2.886029291,KIT,-1.127856621
ANGPT1,-2.886029291,MET,0.350709328
ANGPT1,-2.886029291,NGFR,2.02994455
ANGPT1,-2.886029291,NTRK1,0.185317797
ANGPT1,-2.886029291,NTRK2,1.856651425
ANGPT1,-2.886029291,PDGFRA,-0.430047797
ANGPT1,-2.886029291,PDGFRB,-0.714472727
ANGPT1,-2.886029291,TEK,-1.578838062
ANGPT2,-1.619320624,CSF1R,-2.05165169
ANGPT2,-1.619320624,EGFR,0.643740489
ANGPT2,-1.619320624,EPHA2,0.067132003
ANGPT2,-1.619320624,FGFR1,-0.015774318
ANGPT2,-1.619320624,FGFR2,2.204049045
ANGPT2,-1.619320624,FGFR3,1.019104537
ANGPT2,-1.619320624,FGFR4,-0.557650181
ANGPT2,-1.619320624,FLT1,1.434221911
ANGPT2,-1.619320624,FLT3,NA
ANGPT2,-1.619320624,FLT4,-0.198522555
ANGPT2,-1.619320624,IGF1R,0.344622854
ANGPT2,-1.619320624,INSR,1.392819227
ANGPT2,-1.619320624,KDR,-1.315089547
ANGPT2,-1.619320624,KIT,-1.127856621
ANGPT2,-1.619320624,MET,0.350709328
ANGPT2,-1.619320624,NGFR,2.02994455
ANGPT2,-1.619320624,NTRK1,0.185317797
ANGPT2,-1.619320624,NTRK2,1.856651425
ANGPT2,-1.619320624,PDGFRA,-0.430047797
ANGPT2,-1.619320624,PDGFRB,-0.714472727
ANGPT2,-1.619320624,TEK,-1.578838062
ANGPT4,0,CSF1R,-2.05165169
ANGPT4,0,EGFR,0.643740489
ANGPT4,0,EPHA2,0.067132003
ANGPT4,0,FGFR1,-0.015774318
ANGPT4,0,FGFR2,2.204049045
ANGPT4,0,FGFR3,1.019104537
ANGPT4,0,FGFR4,-0.557650181
ANGPT4,0,FLT1,1.434221911
ANGPT4,0,FLT3,NA
ANGPT4,0,FLT4,-0.198522555
ANGPT4,0,IGF1R,0.344622854
ANGPT4,0,INSR,1.392819227
ANGPT4,0,KDR,-1.315089547
ANGPT4,0,KIT,-1.127856621
ANGPT4,0,MET,0.350709328
ANGPT4,0,NGFR,2.02994455
ANGPT4,0,NTRK1,0.185317797
ANGPT4,0,NTRK2,1.856651425
ANGPT4,0,PDGFRA,-0.430047797
ANGPT4,0,PDGFRB,-0.714472727
ANGPT4,0,TEK,-1.578838062
ARF6,0.005730668,RAC1,-0.2798554
BAD,0.033227167,BCL2L1,NA
BDNF,2.153666455,CSF1R,-2.05165169
BDNF,2.153666455,EGFR,0.643740489
BDNF,2.153666455,EPHA2,0.067132003
BDNF,2.153666455,FGFR1,-0.015774318
BDNF,2.153666455,FGFR2,2.204049045
BDNF,2.153666455,FGFR3,1.019104537
BDNF,2.153666455,FGFR4,-0.557650181
BDNF,2.153666455,FLT1,1.434221911
BDNF,2.153666455,FLT3,NA
BDNF,2.153666455,FLT4,-0.198522555
BDNF,2.153666455,IGF1R,0.344622854
BDNF,2.153666455,INSR,1.392819227
BDNF,2.153666455,KDR,-1.315089547
BDNF,2.153666455,KIT,-1.127856621
BDNF,2.153666455,MET,0.350709328
BDNF,2.153666455,NGFR,2.02994455
BDNF,2.153666455,NTRK1,0.185317797
BDNF,2.153666455,NTRK2,1.856651425
BDNF,2.153666455,PDGFRA,-0.430047797
BDNF,2.153666455,PDGFRB,-0.714472727
BDNF,2.153666455,TEK,-1.578838062
BRAP,0.247843626,KSR1,-1.488668941
BRAP,0.247843626,KSR2,1.023206351
CALM1,0.22811636,RASGRF1,-0.117364431
CALM1,0.22811636,RASGRF2,-1.690754937
CALM2,-0.07859707,RASGRF1,-0.117364431
CALM2,-0.07859707,RASGRF2,-1.690754937
CALM3,0.195452627,RASGRF1,-0.117364431
CALM3,0.195452627,RASGRF2,-1.690754937
CALML3,-1.979398608,RASGRF1,-0.117364431
CALML3,-1.979398608,RASGRF2,-1.690754937
CALML4,-0.291800654,RASGRF1,-0.117364431
CALML4,-0.291800654,RASGRF2,-1.690754937
CALML5,0.247912593,RASGRF1,-0.117364431
CALML5,0.247912593,RASGRF2,-1.690754937
CALML6,-0.468705757,RASGRF1,-0.117364431
CALML6,-0.468705757,RASGRF2,-1.690754937
CDC42,-0.22523295,MAPK10,NA
CDC42,-0.22523295,MAPK8,-0.219949714
CDC42,-0.22523295,MAPK9,-0.117360106
CHUK,-0.198813185,NFKB1,-0.054238045
CHUK,-0.198813185,RELA,-0.255131899
CSF1,-1.131552746,CSF1R,-2.05165169
CSF1,-1.131552746,EGFR,0.643740489
CSF1,-1.131552746,EPHA2,0.067132003
CSF1,-1.131552746,FGFR1,-0.015774318
CSF1,-1.131552746,FGFR2,2.204049045
CSF1,-1.131552746,FGFR3,1.019104537
CSF1,-1.131552746,FGFR4,-0.557650181
CSF1,-1.131552746,FLT1,1.434221911
