protein1,weight1,protein2,weight2
HRAS,0.333133533,RAF1,0.06969736
KRAS,-0.276560051,RAF1,0.06969736
MRAS,-0.102015846,RAF1,0.06969736
NRAS,-0.466307771,RAF1,0.06969736
RRAS,0.542432796,RAF1,0.06969736
RRAS2,0.287015314,RAF1,0.06969736
SHOC2,-0.12149062,RAF1,0.06969736
RAF1,0.06969736,MAP2K1,NA
RAF1,0.06969736,MAP2K2,NA
MAP2K1,NA,MAPK1,0.336601987
MAP2K2,NA,MAPK1,0.336601987
MAP2K1,NA,MAPK3,-0.440141675
MAP2K2,NA,MAPK3,-0.440141675
MAPK1,0.336601987,ELK1,-0.384688276
MAPK3,-0.440141675,ELK1,-0.384688276
ELK1,-0.384688276,AP001258.4,-1.588161835
ELK1,-0.384688276,CRNDE,-0.738703032
ELK1,-0.384688276,CTA-384D8.35,-1.985397238
ELK1,-0.384688276,FOS,-1.000232203
ELK1,-0.384688276,LINC00511,-0.492410998
ELK1,-0.384688276,LINC00909,-0.467815675
ELK1,-0.384688276,LINC00963,-0.407818031
ELK1,-0.384688276,LINC01128,-0.270837106
ELK1,-0.384688276,LINC01239,-1.381804253
ELK1,-0.384688276,LINC01560,-0.704742734
ELK1,-0.384688276,NEAT1,-1.290253766
ELK1,-0.384688276,PSMB8-AS1,-2.239150756
ELK1,-0.384688276,RP1-27K12.2,-2.38238037
ELK1,-0.384688276,RP11-11N9.4,-0.843787377
ELK1,-0.384688276,RP11-79P5.9,-1.755742345
ELK1,-0.384688276,RP4-737E23.2,-3.054326812
ELK1,-0.384688276,SNHG19,-0.447649327
