protein1,protein2,weight
ALUYB8,ALUYB8,0
ALUSX1,ALUSX1,0
THE1A,THE1A,0
ALUYB11,ALUYB11,0
LTR12C,LTR12C,0
MIRC,MIRC,0
ALUYB8A1,ALUYB8A1,0
ALUYF2,ALUYF2,0
ALUYB8,RIG-I,2.093671584
ALUSX1,RIG-I,2.093671584
THE1A,RIG-I,2.093671584
ALUYB11,RIG-I,2.093671584
LTR12C,RIG-I,2.093671584
MIRC,RIG-I,2.093671584
ALUYB8A1,RIG-I,2.093671584
ALUYF2,RIG-I,2.093671584
ALUYB8,MDA5,2.350519774
ALUSX1,MDA5,2.350519774
THE1A,MDA5,2.350519774
ALUYB11,MDA5,2.350519774
LTR12C,MDA5,2.350519774
MIRC,MDA5,2.350519774
ALUYB8A1,MDA5,2.350519774
ALUYF2,MDA5,2.350519774
RIG-I,MAVS,0
MDA5,MAVS,0
MAVS,IRF3,0
MAVS,IRF7,0
IRF3,IFNL1,3.760695504
IRF3,IRF9,3.589201944
IRF3,STAT1,0.961359318
IRF7,IFNL1,3.760695504
IRF7,IRF9,3.589201944
IRF7,STAT1,0.961359318
IRF9,IFI44L,5.978677204
IRF9,VIPERIN/RSAD2,4.733336287
IRF9,IFI27,4.473487891
IRF9,MX1,4.469179691
IRF9,OAS2,4.05444403
IRF9,OAS1,3.842922557
IRF9,IFIT3,3.838266364
IRF9,IFI44L,5.978677204
IRF9,IFIT1,3.615490412
IRF9,CH25H,3.599588762
IRF9,OASL,3.458633838
IRF9,IFIT2,3.311623951
IRF9,ISG15,2.692012909
IRF9,ISG20,1.918331135
IRF9,OAS3,1.81706166
